Geo Point;Geo Shape;objectid;shape_leng;insee;nomcom;numdep;fusioinsee;nomcomto;st_areasha;st_lengths
48.2049138912,2.92837301126;"{""coordinates"": [[[2.93474860488382, 48.178822626211925], [2.911908209794098, 48.19235879762087], [2.909737745568465, 48.20247084027921], [2.89997847472343, 48.202903876856084], [2.890894867196879, 48.2149979683055], [2.894181257665313, 48.22102049274379], [2.903647427704679, 48.2207406615374], [2.913627360548541, 48.22733474559229], [2.921456587650689, 48.223759100145884], [2.934268948297217, 48.21829626727561], [2.943906595820199, 48.22069464928941], [2.955989424110139, 48.21457226134446], [2.961475626618284, 48.20531538557323], [2.955402225920422, 48.19251820140901], [2.93474860488382, 48.178822626211925]]], ""type"": ""Polygon""}";270;16575.933554;77500;Villebéon;77;;Villebéon;16111455.5;16575.933554034793
49.0616626709,1.92659421162;"{""coordinates"": [[[1.914067826299745, 49.04583496408471], [1.90852250197371, 49.04802382806125], [1.899332340703315, 49.06529531189285], [1.904458855746953, 49.07462219526911], [1.916637081660878, 49.06824018505472], [1.927023172868135, 49.0683063934618], [1.941797479772907, 49.07129693046831], [1.953222986701708, 49.07821305359114], [1.95874481123329, 49.07180465045123], [1.941478779774768, 49.05606120369058], [1.94036802464492, 49.05283214687737], [1.944537530003123, 49.05098045302902], [1.936473993559987, 49.04857130855457], [1.917817015119283, 49.051695905251506], [1.914067826299745, 49.04583496408471]]], ""type"": ""Polygon""}";277;14248.079326;95348;Longuesse;95;;Longuesse;8037025.5;14248.079325944642
48.9318976597,1.87410045764;"{""coordinates"": [[[1.883579452390072, 48.91717033967853], [1.87823187587771, 48.91899105862327], [1.871899970779623, 48.92339242927712], [1.853884047638998, 48.92591053751901], [1.852237513943501, 48.93434871956596], [1.856775096907061, 48.94341254669016], [1.869923799449731, 48.94714358543294], [1.871713505977736, 48.94143164435535], [1.884798650259463, 48.94051086855695], [1.893737833246441, 48.9329492897285], [1.901141392312233, 48.9294739779044], [1.883579452390072, 48.91717033967853]]], ""type"": ""Polygon""}";282;10743.949852;78049;Bazemont;78;;Bazemont;6618832.0;10743.949852015365
48.9509081872,2.77901265334;"{""coordinates"": [[[2.783097954858529, 48.93810141893232], [2.771095042295974, 48.939086265438625], [2.762254411344121, 48.94995900613578], [2.761135570187857, 48.9527714252731], [2.763265533987282, 48.95578811878044], [2.782736427077031, 48.95929605133592], [2.788502617739323, 48.968523524832555], [2.792043926458514, 48.96756753922842], [2.791389318481277, 48.94690184217651], [2.783097954858529, 48.93810141893232]]], ""type"": ""Polygon""}";302;9269.53350794;77094;Charmentray;77;;Charmentray;4408874.0;9269.533507952017
48.5732357153,2.45777798707;"{""coordinates"": [[[2.456355291836143, 48.56387538197188], [2.442294558670131, 48.57719579971013], [2.4695700366914, 48.578552898720865], [2.473848917558093, 48.57770832140335], [2.456355291836143, 48.56387538197188]]], ""type"": ""Polygon""}";324;6162.55893638;91468;Ormoy;91;;Ormoy;1871287.0;6162.558936399615
48.9008380509,2.0153630611;"{""coordinates"": [[[1.99837385865625, 48.89140231794428], [1.995659510862977, 48.89423955993373], [2.001322657780332, 48.89979100547112], [2.014347784259484, 48.90495327844513], [2.022166133594169, 48.913606123781186], [2.027028641340774, 48.91261147098426], [2.026951435811231, 48.89557714738077], [2.022540729614208, 48.89366156693736], [2.012652511885662, 48.89579287035772], [1.99837385865625, 48.89140231794428]]], ""type"": ""Polygon""}";329;7923.6107347;78007;Aigremont;78;;Aigremont;2745241.5;7923.610734658374
48.3692255214,2.20423612616;"{""coordinates"": [[[2.188440136156977, 48.360473329614706], [2.178830579602416, 48.36805485687769], [2.19671163646009, 48.38023373315143], [2.201748087629286, 48.37943101835871], [2.209692876701482, 48.383703938292975], [2.222069765594974, 48.368787464123926], [2.223823914786961, 48.36612677860183], [2.232021342745218, 48.366027236018866], [2.229800691687992, 48.36092035947592], [2.188440136156977, 48.360473329614706]]], ""type"": ""Polygon""}";333;10615.9016086;91374;Marolles-en-Beauce;91;;Marolles-en-Beauce;5849316.5;10615.901608584723
48.7266074685,1.93544246617;"{""coordinates"": [[[1.94192497986669, 48.70933655247966], [1.937580262825234, 48.71111496748371], [1.937525016996268, 48.71784284443098], [1.903472093402417, 48.7223831643423], [1.906655067175226, 48.735293327451714], [1.916481816924236, 48.733565937005125], [1.932415293299903, 48.741715037148445], [1.947876824180309, 48.7337028774684], [1.961916095679211, 48.73476127594653], [1.963558245694852, 48.725330810602976], [1.959904243845934, 48.71970410028983], [1.94192497986669, 48.70933655247966]]], ""type"": ""Polygon""}";334;13337.316782799999;78334;Lévis-Saint-Nom;78;;Lévis-Saint-Nom;8745261.0;13337.316782831616
48.939144787,2.94066585893;"{""coordinates"": [[[2.939419609802634, 48.92704162982661], [2.924307014017008, 48.930495196123516], [2.916702617701648, 48.940480893000725], [2.934982495160137, 48.95027602230136], [2.961746889778132, 48.94521580196492], [2.969216989454338, 48.94113535891039], [2.957208259489111, 48.93608686043835], [2.957429237269575, 48.93293054681559], [2.945338041548605, 48.93132496077285], [2.939419609802634, 48.92704162982661]]], ""type"": ""Polygon""}";362;9833.7006426;77199;Fublaines;77;;Fublaines;5768425.5;9833.700642610898
49.1231107932,2.37799676025;"{""coordinates"": [[[2.361450841305992, 49.10705139711032], [2.355488155497098, 49.111883922037585], [2.35453596169832, 49.12125674973532], [2.365883926019734, 49.13314053142813], [2.374896025549622, 49.13686505539182], [2.390766362795399, 49.13783656415173], [2.411267838610955, 49.13409042123121], [2.40783524250132, 49.12631422529639], [2.403905992847641, 49.12846169368214], [2.384502376407843, 49.127590758039844], [2.386400017284631, 49.11774606848419], [2.396040220197112, 49.11566392436898], [2.391650782027315, 49.110363909105935], [2.361450841305992, 49.10705139711032]]], ""type"": ""Polygon""}";380;14234.5917222;95652;Viarmes;95;;Viarmes;8206764.0;14234.591722145695
48.7470359922,2.52528049019;"{""coordinates"": [[[2.536504385710327, 48.72822051385803], [2.528039935486366, 48.729104770578424], [2.51696774663752, 48.73848655514175], [2.51180042232524, 48.74430283297118], [2.502673470776474, 48.747314220774406], [2.493159732460951, 48.75923652268635], [2.499748965754346, 48.76296989435587], [2.527075427976945, 48.756047801528254], [2.556647169370998, 48.75454229930816], [2.548619600414612, 48.75006909881906], [2.549359642730829, 48.7431193548259], [2.536504385710327, 48.72822051385803]]], ""type"": ""Polygon""}";392;13375.6991917;94004;Boissy-Saint-Léger;94;;Boissy-Saint-Léger;8701456.0;13375.699191760108
48.8044185716,2.01911294303;"{""coordinates"": [[[2.050125421375899, 48.79841284673878], [2.030089508464575, 48.79668691314053], [1.994386896370492, 48.7991171439457], [1.996440552042251, 48.81196933578749], [2.00039300751167, 48.813936219254295], [2.02479593868465, 48.8118532231118], [2.048458422725607, 48.8032205365703], [2.050125421375899, 48.79841284673878]]], ""type"": ""Polygon""}";394;10261.7513032;78073;Bois-d'Arcy;78;;Bois-d'Arcy;5560896.5;10261.751303241806
48.6267877328,3.02021144057;"{""coordinates"": [[[2.993760521948391, 48.60776405398541], [2.986527961625491, 48.61905229914961], [2.990949877690257, 48.62442275184796], [2.986295853239492, 48.624665172629484], [2.990351118937031, 48.63391240613221], [3.00318946991411, 48.63912980928284], [3.012339024296599, 48.64711666051517], [3.017320575038756, 48.64647740651071], [3.027555142240502, 48.64587282436716], [3.043592203517203, 48.63703505764514], [3.053728686636448, 48.635519769931996], [3.057983100296517, 48.62923030106409], [3.036121255324105, 48.607911655902754], [3.011897161712802, 48.614195128638926], [2.993760521948391, 48.60776405398541]]], ""type"": ""Polygon""}";408;16181.9421832;77201;Gastins;77;;Gastins;15322439.0;16181.942183234694
